backbone,stratum,model,strat_n,strat_k_dg,strat_mean_dg,strat_k_gg,strat_mean_gg,strat_rho,strat_p_sp,strat_n_sp
BART,high-fidelity (diff→gold ≥ +0.56),codellama-7b,282,282,0.8054889287220978,47,0.09501989639262216,0.2586548326263235,7.44339126246274e-06,282
BART,high-fidelity (diff→gold ≥ +0.56),qwen2.5-coder-7b,282,282,0.8054889287220978,34,0.08576501814514549,0.1020550867212405,0.08603922790757901,282
BART,high-fidelity (diff→gold ≥ +0.56),deepseek-6.7b,282,282,0.8054889287220978,40,0.04285214305716007,0.11887586605182197,0.04513657871466692,282
BART,mid-fidelity  (-0.10 < diff→gold < +0.56),codellama-7b,859,0,0.12773483368692534,76,-0.017817089802739227,0.049621521932542226,0.1458243371401211,859
BART,mid-fidelity  (-0.10 < diff→gold < +0.56),qwen2.5-coder-7b,859,0,0.12773483368692534,59,0.004317687741982445,0.03174537227240502,0.3524743824953924,859
BART,mid-fidelity  (-0.10 < diff→gold < +0.56),deepseek-6.7b,859,0,0.12773483368692534,78,-0.05444959489703482,0.021264143354597496,0.5335215968057141,859
BART,low-fidelity  (diff→gold ≤ -0.10),codellama-7b,300,0,-0.54628149764525,17,-0.1035233363348137,0.0376497558472603,0.5154360154726814,300
BART,low-fidelity  (diff→gold ≤ -0.10),qwen2.5-coder-7b,300,0,-0.54628149764525,12,-0.05008063188950473,-0.023448485366335925,0.6855547345357549,300
BART,low-fidelity  (diff→gold ≤ -0.10),deepseek-6.7b,300,0,-0.54628149764525,21,-0.18488934593643838,-0.06735164472401343,0.24389121123627944,300
BART,plain (all),codellama-7b,1441,282,0.12004694708058669,140,-0.013578258333294695,0.11450343960038976,1.2291703276767763e-05,1441
BART,plain (all),qwen2.5-coder-7b,1441,282,0.12004694708058669,105,0.008931602581847695,0.06497768004373518,0.013507781981619393,1441
BART,plain (all),deepseek-6.7b,1441,282,0.12004694708058669,139,-0.06256398435486835,0.0402831959236774,0.1261776246766555,1441
BART,all N=1600,codellama-7b,1600,301,0.10731212657928609,156,-0.013033395194943296,0.10433857416793627,2.7429050214022865e-05,1600
BART,all N=1600,qwen2.5-coder-7b,1600,301,0.10731212657928609,113,0.0034737405788973774,0.05757041667983111,0.02115536083778391,1600
BART,all N=1600,deepseek-6.7b,1600,301,0.10731212657928609,156,-0.07017059475996575,0.009798013140279773,0.6952841016382738,1600
DeBERTa,high-fidelity (deb diff→gold ≥ +0.56),codellama-7b,403,403,0.9081005062122203,51,0.024119972295264157,0.2587936506073953,8.08980449296115e-08,403
DeBERTa,high-fidelity (deb diff→gold ≥ +0.56),qwen2.5-coder-7b,403,403,0.9081005062122203,36,0.048989989917272374,0.1651516389095694,0.0007988164112959772,403
DeBERTa,high-fidelity (deb diff→gold ≥ +0.56),deepseek-6.7b,403,403,0.9081005062122203,42,-0.00817577921723018,0.17652637102946958,0.00032898654770052715,403
DeBERTa,mid-fidelity  (-0.10 < deb diff→gold < +0.56),codellama-7b,885,0,0.08554828086141812,64,-0.03997692933863839,0.18323943040073903,3.0455335142676176e-08,885
DeBERTa,mid-fidelity  (-0.10 < deb diff→gold < +0.56),qwen2.5-coder-7b,885,0,0.08554828086141812,46,-0.005851825751827262,0.07733008261110684,0.021178369876854397,885
DeBERTa,mid-fidelity  (-0.10 < deb diff→gold < +0.56),deepseek-6.7b,885,0,0.08554828086141812,48,-0.09743391888289801,0.007459673308581138,0.8245686705917639,885
DeBERTa,low-fidelity  (deb diff→gold ≤ -0.10),codellama-7b,153,0,-0.5362088633518592,7,-0.09470500743467045,0.0023622442996196957,0.9768423988615933,153
DeBERTa,low-fidelity  (deb diff→gold ≤ -0.10),qwen2.5-coder-7b,153,0,-0.5362088633518592,11,-0.037918189771814284,0.07919047060597431,0.3289780138455587,153
DeBERTa,low-fidelity  (deb diff→gold ≤ -0.10),deepseek-6.7b,153,0,-0.5362088633518592,16,-0.14262200804317698,-0.1047228132486723,0.1956756329213003,153
DeBERTa,plain (all),codellama-7b,1441,403,0.24957305792716541,122,-0.02786197069202505,0.19816216060449438,1.7319479184152442e-14,1441
DeBERTa,plain (all),qwen2.5-coder-7b,1441,403,0.24957305792716541,93,0.006080927905070128,0.13380471138590544,3.025920922716807e-07,1441
DeBERTa,plain (all),deepseek-6.7b,1441,403,0.24957305792716541,106,-0.07726927443894142,0.061565696607599175,0.019289871613954235,1441
DeBERTa,all N=1600,codellama-7b,1600,426,0.23752078898251056,135,-0.028376887999475003,0.18944988943023927,1.2434497875801753e-14,1600
DeBERTa,all N=1600,qwen2.5-coder-7b,1600,426,0.23752078898251056,105,0.004267356470227242,0.11963445042505223,1.4574601887584748e-06,1600
DeBERTa,all N=1600,deepseek-6.7b,1600,426,0.23752078898251056,121,-0.07775931321084499,0.038443581101540406,0.1240684880182843,1600
