sample_id,kind,language,diff_id,anchor,syn_word,other_word,cand_A_is_syn,expected_rater_pick
S01,verb,js,121,open,unlock,close,True,A
S02,verb,java,11868,enable,permit,disable,False,B
S03,verb,java,26722,disabling,blocking,enabling,False,B
S04,verb,js,3433,accepted,took,rejected,True,A
S05,verb,php,1493,includes,contains,excludes,False,B
S06,verb,py,7349,allowing,permitting,forbidding,True,A
S07,verb,php,7328,removed,deleted,inserted,False,B
S08,verb,go,1188,shows,displays,hides,True,A
S09,verb,go,4331,create,build,destroy,True,A
S10,verb,py,42064,start,begin,stop,True,A
S11,noun_close_entity,php,1293,parameter,argument,constant,False,B
S12,noun_close_entity,rust,2103,functions,methods,variables,True,A
S13,noun_close_entity,php,6424,parameters,arguments,constants,False,B
S14,noun_close_entity,java,35166,methods,functions,attributes,True,A
S15,noun_close_entity,py,28438,argument,parameter,keyword,True,A
S16,noun_diagnostic,cpp,8542,warnings,alerts,errors,True,A
S17,noun_diagnostic,py,24903,bug,issue,feature,True,A
S18,noun_diagnostic,rust,1388,error,exception,warning,False,B
S19,noun_diagnostic,py,25648,bugs,issues,features,False,B
S20,noun_diagnostic,php,294,errors,exceptions,warnings,False,B
S21,noun_directional,java,8755,inputs,entries,outputs,True,A
S22,noun_directional,py,33968,import,include,export,False,B
S23,noun_directional,java,12904,imports,includes,exports,False,B
S24,noun_directional,java,32446,input,entry,output,False,B
S25,noun_directional,rust,4574,inputs,entries,outputs,True,A
S26,noun_infrastructure,go,2492,logs,traces,outputs,False,B
S27,noun_infrastructure,py,8396,tests,checks,configs,False,B
S28,noun_infrastructure,js,9266,comments,notes,commands,False,B
S29,noun_infrastructure,rust,1086,log,trace,output,False,B
S30,noun_infrastructure,cs,9653,comment,note,command,False,B
